Genesis Account,Proxy Account,Proxy Type,Delay
5HVc2HNQH8DW73GKpiVq8U2g9sryCKStkpVaonVD8WL2Vn3w,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5Cr4f1RCTyj2ChpJtNrFEh3JzLnwExNzvQWy5xwpgoMQ4gF1,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5GeHAEAJedWDkosbSHHuraDywM2mQS5QtD4R5AxhfbRB9Xim,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5FCVfimxxAEc2ZfZsyMxFcwunfcAsn9Pkznry37wX3hGoAR2,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5ES4LPV2mWJjXyXURfbHunACsNARkhvXZGZeEDywnUyH8h8u,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5GirqZPGx3kRopwD7RYZoFwwiKszYUrvSCFPoAvqDYKd1hCa,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5DtJhMb9F6fbUNPnvG4N5fG9PmuQi1jJ9oDnnPHnDn5GLDWQ,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5Hpfamx4ZgdJgyFH5pL7NjbQBBW72nqNzV19ThKf1kVgdqEA,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5Gk2rjWNk5jxXSkLtryQXJmz5xpMJu2Ewwp1VmMs2MggapJX,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5Dqpyw1YEKecvU83ZtMrztfHfo67JBHy7ZYrGTFARxvovML5,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HNjsVdwdQtbCbqeYq2pEKWi6EUJsuJhyYDkfVZDfniL8sRt,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5EehGGpwzi7Y8eWGSKk8vwSiBuE1HXELZjRxwwE95Lb42nys,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HgnQkKYQVyV6s9bdXPSctewePr8UpwbJf1fBU9qicy6VVMv,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HMXHLSxnGy16MHcVRb3jxLci1PBwFkXQkYhAC665CsCRkyD,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HBnN8ziftFafXM42rLwoXaGCi46Qp66kXFBGaXV6uNimUJq,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5G6NAE72PMRahnHgu4gUEquLoPnGVmBYc94jfiw3JdVoLHyf,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5ETwZ9uvTCdLRCAvKeLRsDPeeu7YMBzSRJdew5nBGY4HenZd,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5FqH7yiAtWpRPNxCUTZTxGa4aKreNK1T3EhHh5SNxYRKSbBL,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5E6trwGvNZLaYxPvUYFBQjSrBPST2uxKcjLBBs3QZ87VB7yo,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5EqQQcdMKg3pZ6dV16orrfkRUpv69Y65pe2WfLJ8ckBhSaD8,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5G3XzJEYRHahKLv47tjtRubaWKd89oZrLCDSj323kBkiiwgF,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5EvLY9FvzS4KFxRPjaMoawm7YJqTEHeeDrkS6p4pqZCU8uRw,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5FYsXbFHChNLTnKFNNrt6hQvTYDGRs4r3iNK2AWc3cVX627L,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5D4XUvkFCDjxNorMSqu8Xt21CMcJSo5d6Xp6X7j4Q5W6XJ4K,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5Dnsgi6YwaKVNxtcMkaEX5xzt6qu6MnDxEvHBFHgXpr6RDSd,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5CZtX3p8HUnKTqoGFM5Le3wJnf9t52CfSAnik6NePdEvqznR,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5EYzK7g1QFPeF7WwfmNtUjcAZj34FvrFzFF2LA9zj9tQWkjk,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5H3zLeqp9E6KxiMPNmGDSvcgARD3fLnqGDnQgYoqGkUK8amo,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5FNLzriwQcw3TCGuNFyoPJTMMy7q8yVksu16cLngEp3H7cMt,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5CAJqWVQqjDWoxtuuApZZcLBwkNEwQrieCeneiqPCRE5kbxc,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5G4BuAtfxA7RPfXC2Y6H6bpTgua3ecPFdEr4LPV4w81C8JgP,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HREBrtkWvgcXnHAWK15ygZoh27oYhgkRxXuQQiZduPGoRnH,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HbnzUbmtxr2cGdeL7woP2zcmCS8LuKR4HnLN9N6rfvKdPfV,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5HdG4ecwDBktvEx3qWKs7njt2NHUVW5UNLGkSdNjdDztVGwd,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0
5D4R6hpp5EmqH6EXc7nHYXPw3DMjJDXyDrZLexEbHBMJSBM5,5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,Staking,0